Time	Left Total	Right Total
0.242470979691	125509	125701
0.333903074265	125509	125701
0.43185210228	125509	125701
0.534934043884	125509	125701
0.632760047913	125509	125701
0.736152172089	125509	125701
0.833925008774	125509	125701
0.935868024826	125509	125701
1.03649115562	125509	125701
1.13656997681	125509	125701
1.23564219475	125509	125701
1.33480095863	125509	125701
1.4357790947	125509	125701
1.53375315666	125509	125701
1.6368470192	125509	125701
1.73545312881	125509	125701
1.83720016479	125509	125701
1.93604016304	125509	125701
2.03810501099	125509	125701
2.13593816757	125509	125701
2.23928618431	125509	125701
2.33717417717	125509	125701
2.43877196312	125509	125701
2.53789019585	125509	125701
2.6358101368	125509	125701
2.73835802078	125509	125701
2.83667898178	125509	125701
2.93936109543	125509	125701
3.03703403473	125509	125701
3.14021611214	125509	125701
3.23803400993	125509	125701
3.340914011	125509	125701
3.43917012215	125509	125701
3.54121613503	125509	125701
3.64009618759	125509	125701
3.74161815643	125509	125701
3.84002399445	125509	125701
3.93993210793	125509	125701
4.04096913338	125509	125701
4.13905310631	125509	125701
4.24185204506	125509	125701
4.33971405029	125509	125701
4.44176697731	125509	125701
4.54091215134	125509	125701
4.64286804199	125509	125701
4.74086618423	125509	125701
4.84402799606	125509	125701
4.94210219383	125509	125701
5.03971815109	125509	125701
5.14287114143	125534	125726
5.24131298065	125749	125949
5.34312009811	126007	126213
5.4422249794	126260	126466
5.54394316673	126501	126709
5.64226698875	126756	126961
5.74524307251	127014	127213
5.84311008453	127268	127465
5.94541311264	127518	127714
6.04428315163	127767	127965
6.14614796638	128015	128214
6.24412512779	128267	128467
6.3430480957	128519	128718
6.44475197792	128765	128968
6.54271602631	129014	129217
6.6462199688	129264	129467
6.74364614487	129515	129715
6.8471121788	129766	129966
6.94487714767	130016	130216
7.04692912102	130267	130466
7.14595913887	130517	130716
7.24801898003	130767	130967
7.34593009949	131015	131216
7.44497108459	131265	131466
7.5469481945	131517	131716
7.6448161602	131768	131966
7.74803805351	132014	132216
7.84592318535	132263	132466
7.947712183	132514	132718
8.04769015312	132763	132966
8.14949202538	133012	133215
8.2476131916	133265	133465
8.35069012642	133518	133716
8.44788813591	133769	133965
8.54997515678	134017	134215
8.6492421627	134266	134466
8.74754500389	134517	134717
8.84938001633	134771	134968
8.94777917862	135018	135218
9.05011105537	135265	135467
9.14816904068	135515	135718
9.25128602982	135765	135967
9.34924602509	136016	136216
9.45166802406	136265	136466
9.5505771637	136517	136717
9.65236997604	136768	136967
9.75105404854	137019	137216
9.84912705421	137267	137466
9.95083713531	137516	137716
10.050506115	137768	137968
10.1519711018	138019	138217
10.2499010563	138265	138467
10.3531861305	138514	138719
10.4509539604	138765	138969
10.5530421734	139014	139218
10.6519160271	139265	139468
10.7542569637	139514	139716
10.8520231247	139767	139965
10.955299139	140019	140215
11.0530610085	140270	140467
11.151432991	140518	140718
11.2543649673	140768	140968
11.3523349762	141018	141218
11.4545850754	141269	141468
11.5538680553	141515	141716
11.6554369926	141765	141967
11.7535860538	142016	142218
11.8560450077	142268	142469
11.953799963	142515	142719
12.0565459728	142766	142969
12.1559569836	143017	143218
12.2530860901	143269	143467
12.355340004	143519	143717
12.4547770023	143769	143967
12.5559670925	144018	144216
12.6540181637	144269	144468
12.756811142	144518	144718
12.8548090458	144767	144969
12.9578971863	145015	145219
13.055970192	145263	145467
13.1580781937	145515	145717
13.2570199966	145764	145967
13.3593130112	146015	146216
13.4567739964	146266	146465
13.5563001633	146519	146716
13.6579971313	146769	146967
13.7559759617	147017	147216
13.8593690395	147267	147467
13.9568331242	147519	147717
14.059278965	147768	147967
14.1583549976	148014	148216
14.2600970268	148262	148467
14.3584060669	148515	148718
14.4612760544	148765	148967
14.5590031147	149013	149215
14.6568500996	149264	149464
14.7602841854	149516	149714
14.8581900597	149769	149966
14.9601120949	150020	150218
15.0594110489	150267	150468
15.1614611149	150488	150692
15.2590560913	150613	150823
15.3619160652	150670	150890
15.4600319862	150677	150905
15.563049078	150677	150905
15.6608970165	150677	150905
15.7630941868	150677	150905
15.8613569736	150677	150905
15.9600861073	150677	150905
16.0621430874	150677	150905
16.1600120068	150677	150905
16.2636780739	150677	150905
16.3609571457	150677	150905
16.4640181065	150677	150905
16.5623180866	150677	150905
16.6642081738	150677	150905
16.7761950493	150677	150905
16.8654150963	150677	150905
16.9631230831	150677	150905
17.0658099651	150677	150905
17.1638760567	150677	150905
17.2622220516	150677	150905
17.3650500774	150677	150905
17.4626600742	150677	150905
17.5648131371	150677	150905
17.66386199	150677	150905
17.7661321163	150677	150905
17.8637430668	150677	150905
17.9665460587	150677	150905
18.0650200844	150677	150905
18.1667041779	150677	150905
18.2658610344	150677	150905
18.3638691902	150677	150905
18.4659330845	150677	150905
18.5646841526	150677	150905
18.6667921543	150677	150905
18.7649071217	150677	150905
18.8678710461	150677	150905
18.9664859772	150677	150905
19.0691621304	150677	150905
19.1673259735	150677	150905
19.271707058	150677	150905
19.368019104	150677	150905
19.4698109627	150677	150905
19.5681929588	150677	150905
19.6675021648	150677	150905
19.7692871094	150677	150905
19.8670921326	150677	150905
19.9700570107	150677	150905
20.0680100918	150677	150905
20.1704921722	150677	150905
20.268912077	150677	150905
20.3718001842	150677	150905
20.4690270424	150677	150905
